Customer_ID,Product_ID,Product_Name,Rating
CUST0001,P001,Basic Checking,4
CUST0001,P008,Youth Savings,4
CUST0001,P021,Used Auto Loan,2
CUST0001,P023,30-Year Fixed Mortgage,3
CUST0001,P027,FHA Mortgage,3
CUST0001,P028,Home Equity Loan,3
CUST0001,P034,CD 60-Month,3
CUST0001,P040,Life Insurance,3
CUST0002,P002,Student Checking,3
CUST0002,P004,Senior Checking,4
CUST0002,P006,Basic Savings,4
CUST0002,P007,High-Yield Savings,4
CUST0002,P008,Youth Savings,4
CUST0002,P015,Secured Credit Card,3
CUST0002,P016,Business Credit Card,3
CUST0002,P022,Auto Refinance Loan,2
CUST0002,P024,15-Year Fixed Mortgage,2
CUST0002,P025,ARM Mortgage,3
CUST0002,P034,CD 60-Month,4
CUST0002,P037,Brokerage Account,4
CUST0002,P038,Retirement IRA,4
CUST0003,P002,Student Checking,3
CUST0003,P005,Business Checking,3
CUST0003,P006,Basic Savings,5
CUST0003,P007,High-Yield Savings,4
CUST0003,P008,Youth Savings,4
CUST0003,P015,Secured Credit Card,2
CUST0003,P019,Debt Consolidation Loan,2
CUST0003,P024,15-Year Fixed Mortgage,2
CUST0003,P029,HELOC,3
CUST0003,P030,CD 3-Month,5
CUST0003,P032,CD 12-Month,5
CUST0003,P034,CD 60-Month,5
CUST0003,P036,Robo-Advisor Portfolio,4
CUST0003,P038,Retirement IRA,4
CUST0004,P004,Senior Checking,3
CUST0004,P008,Youth Savings,3
CUST0004,P011,Cashback Card,4
CUST0004,P012,Travel Rewards Card,4
CUST0004,P013,Premium Travel Card,4
CUST0004,P015,Secured Credit Card,4
CUST0004,P016,Business Credit Card,3
CUST0004,P017,Personal Loan - Unsecured,2
CUST0004,P020,New Auto Loan,3
CUST0004,P025,ARM Mortgage,2
CUST0004,P029,HELOC,1
CUST0004,P030,CD 3-Month,3
CUST0004,P033,CD 24-Month,2
CUST0004,P036,Robo-Advisor Portfolio,3
CUST0004,P041,Auto Insurance,1
CUST0005,P001,Basic Checking,3
CUST0005,P002,Student Checking,3
CUST0005,P007,High-Yield Savings,5
CUST0005,P008,Youth Savings,3
CUST0005,P009,Holiday Club Savings,3
CUST0005,P010,Basic Rewards Card,3
CUST0005,P012,Travel Rewards Card,2
CUST0005,P016,Business Credit Card,2
CUST0005,P018,Personal Loan - Secured,2
CUST0005,P030,CD 3-Month,5
CUST0005,P033,CD 24-Month,5
CUST0005,P034,CD 60-Month,4
CUST0005,P035,IRA CD,4
CUST0005,P036,Robo-Advisor Portfolio,4
CUST0005,P039,529 College Savings,3
CUST0005,P040,Life Insurance,3
CUST0006,P006,Basic Savings,3
CUST0006,P008,Youth Savings,3
CUST0006,P009,Holiday Club Savings,3
CUST0006,P010,Basic Rewards Card,3
CUST0006,P012,Travel Rewards Card,4
CUST0006,P014,Student Credit Card,3
CUST0006,P018,Personal Loan - Secured,3
CUST0006,P020,New Auto Loan,3
CUST0006,P024,15-Year Fixed Mortgage,3
CUST0006,P025,ARM Mortgage,2
CUST0006,P027,FHA Mortgage,4
CUST0006,P030,CD 3-Month,2
CUST0006,P031,CD 6-Month,2
CUST0006,P034,CD 60-Month,3
CUST0006,P036,Robo-Advisor Portfolio,3
CUST0006,P039,529 College Savings,2
CUST0007,P003,Premium Checking,4
CUST0007,P004,Senior Checking,4
CUST0007,P008,Youth Savings,2
CUST0007,P009,Holiday Club Savings,2
CUST0007,P011,Cashback Card,5
CUST0007,P013,Premium Travel Card,3
CUST0007,P015,Secured Credit Card,4
CUST0007,P016,Business Credit Card,4
CUST0007,P017,Personal Loan - Unsecured,5
CUST0007,P019,Debt Consolidation Loan,4
CUST0007,P020,New Auto Loan,4
CUST0007,P021,Used Auto Loan,5
CUST0007,P023,30-Year Fixed Mortgage,4
CUST0007,P026,Jumbo Mortgage,4
CUST0007,P027,FHA Mortgage,2
CUST0007,P030,CD 3-Month,2
CUST0007,P032,CD 12-Month,1
CUST0007,P036,Robo-Advisor Portfolio,2
CUST0007,P037,Brokerage Account,1
CUST0008,P001,Basic Checking,4
CUST0008,P003,Premium Checking,4
CUST0008,P004,Senior Checking,4
CUST0008,P007,High-Yield Savings,5
CUST0008,P009,Holiday Club Savings,4
CUST0008,P010,Basic Rewards Card,4
CUST0008,P011,Cashback Card,3
CUST0008,P012,Travel Rewards Card,5
CUST0008,P013,Premium Travel Card,4
CUST0008,P014,Student Credit Card,3
CUST0008,P018,Personal Loan - Secured,3
CUST0008,P020,New Auto Loan,2
CUST0008,P025,ARM Mortgage,2
CUST0008,P029,HELOC,1
CUST0008,P031,CD 6-Month,2
CUST0008,P032,CD 12-Month,2
CUST0008,P034,CD 60-Month,2
CUST0008,P037,Brokerage Account,3
CUST0008,P041,Auto Insurance,2
CUST0009,P002,Student Checking,4
CUST0009,P004,Senior Checking,4
CUST0009,P005,Business Checking,3
CUST0009,P007,High-Yield Savings,4
CUST0009,P011,Cashback Card,4
CUST0009,P013,Premium Travel Card,3
CUST0009,P020,New Auto Loan,2
CUST0009,P021,Used Auto Loan,2
CUST0009,P023,30-Year Fixed Mortgage,3
CUST0009,P024,15-Year Fixed Mortgage,2
CUST0009,P028,Home Equity Loan,3
CUST0009,P034,CD 60-Month,3
CUST0009,P036,Robo-Advisor Portfolio,2
CUST0009,P039,529 College Savings,3
CUST0009,P041,Auto Insurance,4
CUST0010,P005,Business Checking,3
CUST0010,P006,Basic Savings,4
CUST0010,P008,Youth Savings,5
CUST0010,P009,Holiday Club Savings,4
CUST0010,P011,Cashback Card,3
CUST0010,P013,Premium Travel Card,2
CUST0010,P022,Auto Refinance Loan,2
CUST0010,P026,Jumbo Mortgage,3
CUST0010,P031,CD 6-Month,5
CUST0010,P033,CD 24-Month,4
CUST0010,P037,Brokerage Account,3
CUST0010,P041,Auto Insurance,3
CUST0011,P003,Premium Checking,5
CUST0011,P005,Business Checking,4
CUST0011,P006,Basic Savings,3
CUST0011,P007,High-Yield Savings,4
CUST0011,P009,Holiday Club Savings,4
CUST0011,P012,Travel Rewards Card,4
CUST0011,P013,Premium Travel Card,4
CUST0011,P015,Secured Credit Card,4
CUST0011,P018,Personal Loan - Secured,3
CUST0011,P022,Auto Refinance Loan,3
