User_ID,Movie_ID,Rating
User_0,0,4
User_0,17,1
User_0,3,5
User_0,12,1
User_0,16,1
User_0,10,1
User_0,15,1
User_0,11,1
User_0,6,2
User_0,4,1
User_1,11,2
User_1,17,2
User_1,3,1
User_1,18,1
User_1,7,1
User_1,0,1
User_1,10,1
User_1,1,1
User_1,6,1
User_1,12,5
User_2,5,1
User_2,12,1
User_2,7,1
User_2,16,1
User_2,9,5
User_2,8,5
User_2,1,1
User_2,19,1
User_2,17,1
User_3,1,1
User_3,9,2
User_3,0,2
User_3,5,1
User_3,15,2
User_3,10,1
User_3,19,5
User_3,2,2
User_4,0,1
User_4,14,1
User_4,7,4
User_4,16,2
User_4,5,5
User_4,12,2
User_4,4,5
User_4,13,1
User_5,12,1
User_5,15,1
User_5,5,1
User_5,11,5
User_5,18,2
User_5,0,1
User_5,2,2
User_5,7,1
User_5,14,1
User_5,6,1
User_5,3,1
User_5,13,1
User_5,8,5
User_6,17,2
User_6,2,2
User_6,7,1
User_6,16,2
User_6,5,1
User_6,13,1
User_6,8,5
User_6,14,1
User_6,15,2
User_6,12,1
User_6,9,4
User_6,6,1
User_6,18,2
User_7,18,1
User_7,0,1
User_7,13,4
User_7,17,1
User_7,5,1
User_7,2,1
User_7,11,1
User_7,6,2
User_8,3,1
User_8,13,4
User_8,6,1
User_8,18,1
User_8,12,4
User_8,11,1
User_8,7,1
User_8,8,1
User_8,19,1
User_8,1,2
User_9,4,2
User_9,18,2
User_9,17,2
User_9,12,5
User_9,6,2
User_9,10,1
User_9,2,1
User_10,17,1
User_10,5,1
User_10,18,1
User_10,10,5
User_10,19,1
User_10,1,1
User_10,12,1
User_10,13,1
User_10,14,1
User_10,2,1
User_10,0,1
User_10,7,1
User_11,2,1
User_11,18,1
User_11,5,1
User_11,7,1
User_11,17,1
User_11,8,5
User_11,15,1
User_11,0,2
User_11,19,1
User_11,6,1
User_11,3,2
User_11,12,1
User_12,5,1
User_12,18,1
User_12,16,1
User_12,14,2
User_12,8,1
User_12,3,5
User_12,0,4
User_12,1,4
User_12,9,1
User_13,4,1
User_13,5,1
User_13,9,4
User_13,7,2
User_13,1,1
User_13,16,1
User_13,12,1
User_13,13,1
User_13,3,1
User_13,8,5
User_13,17,1
User_14,14,1
User_14,1,1
User_14,10,4
User_14,6,1
User_14,11,4
User_14,2,1
User_14,15,1
User_14,13,1
User_14,9,4
User_15,4,2
User_15,13,5
User_15,16,2
User_15,19,1
User_15,0,1
User_15,5,2
User_15,9,2
User_15,15,5
User_15,17,1
User_15,18,1
User_15,10,1
User_16,13,1
User_16,9,1
User_16,19,2
User_16,11,1
User_16,14,1
User_16,0,1
User_16,1,1
User_16,7,4
User_16,17,1
User_17,11,1
User_17,4,1
User_17,6,2
User_17,13,4
User_17,9,1
User_17,2,1
User_17,10,1
User_18,6,2
User_18,10,5
User_18,14,1
User_18,7,1
User_18,4,2
User_18,0,1
User_18,17,1
User_18,16,1
User_18,9,5
User_18,3,1
User_18,11,4
User_18,12,2
User_19,2,1
User_19,14,5
User_19,19,2
User_19,8,2
User_19,6,1
User_19,10,1
User_19,7,2
User_20,0,1
User_20,1,1
User_20,11,1
User_20,15,5
User_20,10,2
User_20,17,1
User_20,3,2
User_20,14,5
User_20,8,1
User_20,16,1
User_21,11,1
User_21,18,2
User_21,15,2
User_21,1,5
User_21,6,1
User_21,19,1
User_21,16,1
User_21,13,2
User_22,2,5
User_22,4,1
User_22,15,2
User_22,13,1
User_22,7,1
User_22,12,1
User_22,9,1
User_22,11,1
User_22,5,1
User_22,1,4
User_23,3,2
User_23,1,2
User_23,9,5
User_23,14,1
User_23,7,1
User_23,12,2
User_23,4,2
User_23,13,2
User_23,8,5
User_23,18,1
User_24,14,1
User_24,12,1
User_24,16,1
User_24,0,5
User_24,3,5
User_24,2,4
User_24,1,5
User_25,19,1
User_25,13,1
User_25,2,1
User_25,3,1
User_25,10,1
User_25,0,1
User_25,4,5
User_25,8,1
User_25,17,1
User_25,7,4
User_25,11,1
User_25,16,2
User_25,9,1
User_26,8,1
User_26,4,5
User_26,6,4
User_26,3,1
User_26,16,1
User_26,17,2
User_26,0,1
User_26,15,2
User_26,9,2
User_26,5,4
User_26,13,2
User_26,2,1
User_26,1,1
User_27,12,2
User_27,19,5
User_27,8,1
User_27,10,1
User_27,9,2
User_27,11,2
User_27,1,1
User_27,14,1
User_27,16,5
User_27,3,1
User_27,7,1
User_27,6,2
User_28,1,5
User_28,5,1
User_28,9,1
User_28,13,1
User_28,10,2
User_28,2,5
User_28,18,1
User_28,6,1
User_28,15,1
User_28,12,1
User_28,17,1
User_28,4,2
User_28,3,5
User_29,19,1
User_29,0,1
User_29,15,1
User_29,2,1
User_29,10,4
User_29,5,2
User_29,6,2
User_30,12,5
User_30,16,2
User_30,5,2
User_30,9,1
User_30,10,2
User_30,18,2
User_31,18,1
User_31,11,1
User_31,3,5
User_31,12,1
User_31,4,1
User_31,1,5
User_31,7,1
User_31,19,1
User_31,10,1
User_31,6,1
User_31,0,5
User_32,1,1
User_32,17,4
User_32,15,1
User_32,6,2
User_32,13,1
User_32,14,1
User_32,12,1
User_33,2,4
User_33,0,5
User_33,11,1
User_33,6,1
User_33,8,1
User_33,16,2
User_33,5,2
User_33,1,5
User_33,17,1
User_33,9,2
User_34,14,2
User_34,19,2
User_34,17,1
User_34,8,1
User_34,2,5
User_34,18,1
User_34,13,1
User_34,9,2
User_35,17,2
User_35,3,2
User_35,11,5
User_35,15,1
User_35,5,1
User_35,12,2
User_35,19,2
User_36,1,5
User_36,11,2
User_36,18,1
User_36,8,2
User_36,17,1
User_36,15,1
User_36,5,1
User_37,9,1
User_37,5,1
User_37,10,1
User_37,8,2
User_37,12,1
User_37,0,1
User_37,7,2
User_37,11,1
User_37,6,1
User_38,10,2
User_38,11,2
User_38,3,1
User_38,16,1
User_38,19,2
User_38,14,1
User_38,2,1
User_38,17,1
User_38,4,4
User_38,9,1
User_38,8,2
User_39,17,1
User_39,14,1
User_39,18,1
User_39,4,1
User_39,10,5
User_39,9,5
User_39,8,4
User_39,3,1
User_39,1,1
User_39,2,1
User_40,13,2
User_40,3,2
User_40,19,1
User_40,18,1
User_40,12,2
User_40,15,1
User_40,0,2
User_40,1,1
User_40,5,4
User_40,11,1
User_40,7,4
User_40,14,1
User_41,7,1
User_41,1,5
User_41,0,5
User_41,8,1
User_41,18,1
User_41,6,1
User_41,5,1
User_41,10,1
User_41,17,1
User_41,19,1
User_41,12,1
User_41,14,1
User_41,13,1
User_42,3,1
User_42,7,1
User_42,6,1
User_42,14,2
User_42,1,1
User_42,17,1
User_42,8,4
User_42,11,5
User_42,19,1
User_42,2,1
User_42,10,5
User_43,17,2
User_43,10,4
User_43,14,1
User_43,1,1
User_43,4,1
User_43,8,5
User_43,9,4
User_43,7,1
User_43,19,2
User_43,0,1
User_44,19,1
User_44,12,2
User_44,4,5
User_44,17,1
User_44,18,1
User_44,13,2
User_45,10,2
User_45,15,1
User_45,17,2
User_45,16,2
User_45,14,2
User_45,12,2
User_45,5,2
User_45,4,1
User_45,18,1
User_45,9,1
User_45,13,2
User_45,2,5
User_46,6,1
User_46,7,1
User_46,12,5
User_46,3,2
User_46,0,1
User_46,9,1
User_46,14,5
User_46,15,5
User_47,8,1
User_47,4,1
User_47,17,1
User_47,9,1
User_47,18,1
User_47,16,1
User_47,13,5
User_47,15,5
User_47,0,2
User_47,3,1
User_47,11,2
User_47,1,1
User_47,2,2
User_48,2,2
User_48,14,5
User_48,6,1
User_48,18,1
User_48,17,1
User_48,16,1
User_48,19,1
User_48,11,1
User_48,8,2
User_49,11,1
User_49,4,5
User_49,14,1
User_49,2,2
User_49,3,1
User_49,0,3
User_49,5,5
User_49,15,1
User_50,7,1
User_50,15,1
User_50,14,1
